Date,Close,High,Low,Open,Volume,Asset,Daily_Return,Rolling_Volatility_30,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA,,,,BND,BND,BND,BND,BND,SPY,SPY,SPY,SPY,SPY
2015-01-02,,,,,,BND,,,60.38595199584961,60.41517756536237,60.2179063647031,60.22521415063314,2218800.0,,,,,
2015-01-05,,,,,,BND,,,60.56135177612305,60.58326957850246,60.422531595437135,60.45175719001376,5820100.0,,,,,
2015-01-06,,,,,,BND,,,60.73666000366211,60.91931566951793,60.66359885216149,60.66359885216149,3887600.0,,,,,
2015-01-07,,,,,,BND,,,60.773250579833984,60.84631180011609,60.67827155088862,60.74402497687838,2433400.0,,,,,
2015-01-08,,,,,,BND,,,60.67816925048828,60.72200479391023,60.61971814312276,60.72200479391023,1873400.0,,,,,
2015-01-09,,,,,,BND,,,60.780521392822266,60.85358256865103,60.64170125680033,60.649009046646334,1646100.0,,,,,
2015-01-12,,,,,,BND,,,60.860843658447266,60.88276143695679,60.787776964474,60.824310311460636,4397900.0,,,,,
2015-01-13,,,,,,BND,,,60.91929626464844,60.985055181998526,60.80970735940958,60.868152917468045,2223400.0,,,,,
2015-01-14,,,,,,BND,,,61.058128356933594,61.1677228580021,61.04351835808813,61.10927171420451,2481200.0,,,,,
2015-01-15,,,,,,BND,,,61.32846450805664,61.34307450780538,61.04352213218628,61.04352213218628,4214500.0,,,,,
2015-01-16,,,,,,BND,,,61.145809173583984,61.262705894811376,61.06544023902405,61.23348032095247,3631300.0,,,,,
2015-01-20,,,,,,BND,,,61.080013275146484,61.24805882958727,61.05809550156832,61.15307437847535,3029500.0,,,,,
2015-01-21,,,,,,BND,,,60.96318817138672,61.22621291142179,60.95588038021591,61.21890512025098,2473900.0,,,,,
2015-01-22,,,,,,BND,,,60.97779846191406,61.102003041336,60.91204506370649,61.102003041336,2157400.0,,,,,
2015-01-23,,,,,,BND,,,61.175045013427734,61.204265017981896,61.087368277137685,61.1092860676579,6255000.0,,,,,
2015-01-26,,,,,,BND,,,61.1019401550293,61.18961683661373,61.06541238502341,61.175006843452515,7810500.0,,,,,
2015-01-27,,,,,,BND,,,61.13856887817383,61.29199912965043,61.10203547696846,61.27008131861297,1154100.0,,,,,
2015-01-28,,,,,,BND,,,61.35771560668945,61.4380790000512,61.094690908127546,61.10930091395408,1394600.0,,,,,
2015-01-29,,,,,,BND,,,61.29192352294922,61.35037466308958,61.19694460087676,61.328456879088826,1551300.0,,,,,
2015-01-30,,,,,,BND,,,61.62800598144531,61.62800598144531,61.452658144439,61.518411492988655,10474400.0,,,,,
2015-02-02,,,,,,BND,,,61.554805755615234,61.62801444396363,61.43035042687649,61.45962943384393,6070500.0,,,,,
2015-02-03,,,,,,BND,,,61.36442565917969,61.48888092091224,61.32781854198217,61.44495684864472,1237200.0,,,,,
2015-02-04,,,,,,BND,,,61.38642883300781,61.39375137844685,61.17411969900085,61.2400114370209,2945700.0,,,,,
2015-02-05,,,,,,BND,,,61.2546501159668,61.320541853097815,61.21072601485648,61.269295206647264,2128200.0,,,,,
